channel_id,channel_name,subscriber_count,total_views,video_count,last_fetched
UCtEUnJ6P2gfffyK9olbutag,Anurag Salgaonkar,416000,61108695,223,2026-01-16
UC8Ch40k7gSxNOCSnU-cmnwg,erica ha,2270000,231848421,225,2026-01-17
UCX6OQ3DkcsbYNE6H8uQQuVA,MrBeast,462000000,107868906640,938,2026-01-18
